event_id,sport,category,event
6a9bd0db-a2ff-4834-9c1f-9a8e94bf2a11,Football,Denmark,Silkeborg IF (res.) - Randers FC (res.)
c05880cf-32f2-4d73-89ec-138bd55c5ce7,Table Tennis,Russia,Bazilevsky Vitaly - Ilichev Maksim
05a6c03b-046f-4ae1-858b-b60c614449bb,Table Tennis,Russia,Klavdenkov Aleksandr - Bazilevsky Vitaly
944df09b-8a6f-4e01-93f6-375ae7fcf11b,Ice Hockey,Czech Republic,Vsetin (youth) - Kobra Praha (youth)
fff7d6ad-4b5c-4e82-ab00-9d5f7de6dfc4,Table Tennis,Russia,Mishutin Egor - Bazilevsky Vitaly
2b22585e-6c51-4044-907e-b9ce9ea7adca,Basketball,Romania,CSU Stiinta Bucuresti - CSM Oradea II
9ec3bbb2-6d03-4c9b-bd8d-c081f4e75a55,Basketball,Saudi Arabia,Al Fateh - Uhod
2752e1ce-0201-499c-9dc5-5704ee3a2cff,Ice Hockey,Czech Republic,HC Slovan Usti nad Labem (youth) - Torax Poruba (youth)
42cff7b1-fb82-4ca4-a0a4-03eaf7f5b10e,Basketball,Iceland,Fjolnir - Hamar
e360ffc4-6d8b-4eb0-8948-7eec354397a5,Basketball,Iceland,Sindri - Hottur Egilsstadir
d3a9d4cc-528a-4e5b-b269-b8f800c3a324,Basketball,Iceland, Hrunamenn / Laugdaelir - FSu Selfoss
f55d00a5-6018-41c7-9e15-05286b8e6545,Basketball,Iceland,Haukar - UMF Alftanes
d6ba8eaf-8d3b-46ef-889d-2f3f031dba49,Volleyball,Poland,Lazarski University - WAT Warsaw
49ccb077-128a-47e4-8338-7ce67122bd7d,Table Tennis,Russia,Soldatov Ivan - Moshkov Ivan
153c8ab4-39d5-492f-82b5-706ae1d359b4,Ice Hockey,North America,Richmond Generals - Hampton Roads Whalers
db947bd0-0224-4a00-97cd-5699b886c2ab,Table Tennis,Russia,"Klavdenkov Aleksandr - Minchenkov, Mihail"
